,No.,Questions
0,1,"If one of us apologizes when our discussiondeteriorates, the discussion ends."
1,11,"I think that one day in the future, when I lookback, I see that my spouse and I have been inharmony with each other."
2,17,"We share the same views about being happy inour life with my spouse"
3,20,My spouse and I have similar values in trust.
4,26,I know my spouse's basic anxieties.
5,31,I feel aggressive when I argue with my spouse.
6,33,"I can use negative statements about my spouse'spersonality during our discussions."
7,38,I hate my spouse's way of open a subject.
8,40,"We're just starting a discussion before I knowwhat's going on."
9,49,"I have nothing to do with what I've been accusedof."
